True phone,Predicted phone
w,"[('ae', 28), ('eh', 14), ('axr', 13), ('r', 6), ('w', 5)]"
l,"[('l', 36), ('r', 22), ('ax', 9), ('axr', 9), ('w', 7)]"
dh,"[('dh', 47), ('f', 13), ('b', 10), ('th', 7), ('d', 7)]"
ih,"[('eh', 25), ('r', 13), ('ix', 12), ('ih', 9), ('ae', 9)]"
iy,"[('iy', 42), ('y', 18), ('ix', 8), ('ih', 7), ('dx', 5)]"
p,"[('f', 60), ('p', 16), ('d', 4), ('tcl', 3), ('th', 3)]"
ix,"[('ix', 23), ('ah', 19), ('ax', 16), ('eh', 9), ('ih', 5)]"
ay,"[('ah', 22), ('l', 18), ('aa', 11), ('ay', 6), ('ax', 6)]"
v,"[('v', 45), ('b', 22), ('dh', 5), ('p', 4), ('gcl', 3)]"
tcl,"[('sh', 42), ('tcl', 31), ('ch', 12), ('jh', 8), ('s', 3)]"
l,"[('l', 48), ('ax', 15), ('ah', 8), ('ow', 7), ('ix', 5)]"
r,"[('r', 52), ('axr', 27), ('er', 12), ('dx', 4), ('q', 1)]"
n,"[('n', 61), ('m', 11), ('dcl', 10), ('en', 3), ('nx', 2)]"
b,"[('iy', 37), ('y', 30), ('ux', 9), ('ix', 7), ('dx', 4)]"
s,"[('sh', 51), ('tcl', 17), ('jh', 11), ('s', 7), ('ch', 5)]"
r,"[('r', 25), ('dx', 22), ('v', 18), ('m', 6), ('axr', 5)]"
s,"[('s', 81), ('z', 14), ('t', 2), ('ch', 1), ('jh', 1)]"
tcl,"[('tcl', 36), ('dcl', 27), ('sh', 14), ('jh', 9), ('kcl', 6)]"
l,"[('l', 44), ('ax', 17), ('ow', 12), ('ih', 5), ('el', 4)]"
m,"[('n', 61), ('m', 22), ('nx', 3), ('ng', 3), ('dcl', 2)]"
ix,"[('iy', 50), ('ih', 14), ('ix', 11), ('ey', 8), ('y', 7)]"
hv,"[('p', 36), ('f', 14), ('hh', 12), ('pcl', 9), ('t', 5)]"
dh,"[('dh', 26), ('t', 21), ('f', 15), ('th', 14), ('d', 9)]"
l,"[('l', 60), ('w', 13), ('ao', 4), ('r', 4), ('el', 4)]"
n,"[('n', 49), ('iy', 9), ('ix', 9), ('m', 6), ('ng', 5)]"
dcl,"[('pcl', 30), ('tcl', 27), ('dcl', 22), ('kcl', 10), ('gcl', 6)]"
n,"[('m', 24), ('n', 19), ('dh', 11), ('dcl', 10), ('v', 7)]"
g,"[('l', 35), ('el', 17), ('ao', 8), ('b', 6), ('v', 5)]"
iy,"[('n', 24), ('iy', 20), ('ix', 12), ('ng', 12), ('en', 6)]"
p,"[('p', 40), ('b', 23), ('dh', 10), ('f', 9), ('k', 6)]"
tcl,"[('tcl', 30), ('pcl', 24), ('f', 13), ('v', 10), ('kcl', 10)]"
ux,"[('iy', 48), ('ix', 17), ('ih', 11), ('y', 4), ('ux', 4)]"
nx,"[('ax', 28), ('l', 11), ('ow', 10), ('ix', 7), ('ah', 7)]"
kcl,"[('f', 26), ('kcl', 22), ('pcl', 20), ('tcl', 16), ('gcl', 7)]"
ix,"[('ix', 29), ('ih', 21), ('eh', 7), ('ux', 6), ('ax', 6)]"
z,"[('s', 71), ('z', 16), ('sh', 5), ('tcl', 2), ('t', 2)]"
iy,"[('iy', 72), ('y', 16), ('ix', 6), ('ux', 3), ('g', 1)]"
p,"[('s', 72), ('z', 18), ('ch', 3), ('tcl', 3), ('sh', 2)]"
ix,"[('w', 26), ('b', 12), ('ix', 9), ('dx', 7), ('ih', 7)]"
axr,"[('axr', 31), ('r', 28), ('er', 18), ('eh', 12), ('q', 3)]"
s,"[('s', 80), ('z', 19), ('tcl', 1)]"
ix,"[('ix', 22), ('dx', 19), ('ih', 13), ('d', 6), ('eh', 6)]"
tcl,"[('dcl', 31), ('gcl', 19), ('tcl', 17), ('v', 13), ('kcl', 6)]"
ux,"[('ux', 43), ('iy', 19), ('ix', 16), ('y', 7), ('ih', 4)]"
n,"[('n', 60), ('m', 22), ('en', 7), ('dcl', 4), ('ng', 4)]"
r,"[('r', 53), ('axr', 17), ('er', 9), ('iy', 5), ('ix', 4)]"
dcl,"[('dcl', 65), ('bcl', 16), ('gcl', 15), ('tcl', 4)]"
eh,"[('eh', 27), ('ix', 16), ('ae', 16), ('ey', 8), ('r', 7)]"
iy,"[('y', 41), ('iy', 38), ('ix', 7), ('ux', 5), ('ih', 4)]"
s,"[('s', 65), ('z', 17), ('sh', 6), ('t', 5), ('ch', 4)]"
r,"[('r', 46), ('axr', 28), ('er', 19), ('dx', 3), ('v', 3)]"
eh,"[('eh', 21), ('ae', 20), ('ix', 18), ('ih', 16), ('hv', 8)]"
w,"[('w', 44), ('l', 27), ('ao', 11), ('el', 8), ('ow', 4)]"
y,"[('iy', 50), ('y', 43), ('ix', 3), ('ih', 2), ('ux', 1)]"
ax,"[('l', 27), ('ao', 26), ('w', 25), ('ow', 12), ('aa', 4)]"
bcl,"[('m', 30), ('bcl', 25), ('dcl', 13), ('n', 12), ('gcl', 8)]"
ch,"[('sh', 46), ('ch', 23), ('jh', 18), ('tcl', 6), ('t', 4)]"
sh,"[('sh', 58), ('ch', 29), ('jh', 6), ('t', 4), ('zh', 1)]"
ae,"[('ae', 46), ('ay', 18), ('eh', 14), ('ah', 5), ('ey', 3)]"
jh,"[('sh', 66), ('ch', 13), ('t', 8), ('zh', 4), ('jh', 3)]"
eh,"[('ae', 29), ('eh', 15), ('ah', 14), ('ix', 10), ('ay', 8)]"
y,"[('iy', 25), ('y', 19), ('dx', 11), ('dcl', 9), ('ix', 7)]"
ax,"[('b', 22), ('dh', 9), ('v', 8), ('ix', 7), ('n', 6)]"
ih,"[('ih', 38), ('eh', 18), ('ix', 12), ('y', 7), ('iy', 6)]"
ay,"[('aa', 25), ('ay', 20), ('aw', 15), ('r', 8), ('ax', 6)]"
tcl,"[('f', 34), ('pcl', 27), ('tcl', 13), ('kcl', 9), ('bcl', 6)]"
s,"[('s', 70), ('z', 15), ('jh', 5), ('sh', 4), ('ch', 3)]"
r,"[('r', 50), ('axr', 17), ('er', 11), ('aa', 9), ('q', 3)]"
ix,"[('ix', 28), ('ax', 10), ('ih', 10), ('eh', 7), ('dx', 6)]"
kcl,"[('kcl', 46), ('f', 13), ('k', 9), ('tcl', 8), ('bcl', 5)]"
tcl,"[('tcl', 28), ('dcl', 22), ('pcl', 17), ('kcl', 9), ('dh', 6)]"
s,"[('s', 80), ('z', 16), ('tcl', 2), ('t', 2)]"
l,"[('l', 31), ('el', 19), ('ow', 16), ('w', 13), ('ao', 11)]"
aa,"[('aa', 38), ('ao', 26), ('l', 12), ('ow', 5), ('ah', 5)]"
ix,"[('ih', 25), ('eh', 23), ('ix', 21), ('ae', 12), ('axr', 3)]"
z,"[('z', 42), ('s', 36), ('jh', 8), ('ch', 5), ('sh', 4)]"
ux,"[('ux', 40), ('ix', 17), ('ih', 13), ('iy', 10), ('y', 5)]"
s,"[('s', 62), ('z', 30), ('tcl', 5), ('t', 2), ('sh', 1)]"
l,"[('l', 31), ('ax', 15), ('ow', 8), ('w', 8), ('el', 7)]"
ux,"[('iy', 48), ('y', 13), ('n', 7), ('dcl', 5), ('ih', 4)]"
