True phone,1st predicted phone,2nd predicted phone,3rd predicted phone,4th predicted phone,5th predicted phone
w,l,w,ax,b,el
iy,ix,ih,iy,l,dx
er,r,er,axr,eh,ix
s,s,z,t,tcl,None
l,v,b,ax,dh,ay
d,t,d,f,s,tcl
b,b,p,v,f,dh
k,k,d,t,p,g
l,v,n,m,dcl,bcl
s,s,z,tcl,None,None
b,p,b,f,v,t
z,s,z,ch,jh,None
tcl,dcl,bcl,tcl,gcl,n
axr,r,aa,axr,ao,q
k,k,t,hh,sh,p
ih,iy,ih,ix,ux,ey
ux,ix,ih,eh,n,dx
s,s,z,sh,t,ch
m,ix,ih,ax,l,n
p,b,d,dh,t,p
z,s,z,None,None,None
ow,w,l,el,ao,ax
uh,l,ao,aa,ow,ax
t,t,f,d,s,p
ix,r,er,axr,eh,ih
ix,ae,eh,ix,ih,axr
iy,iy,dx,ix,n,v
ix,ix,n,dh,ih,b
r,r,axr,er,ix,ih
ey,ey,ih,ae,ix,ay
l,ah,aa,ao,ow,l
ey,ix,eh,ih,ey,ay
l,r,ax,ow,dx,uw
ng,n,ng,m,ix,en
gcl,r,v,m,axr,dx
pcl,kcl,pcl,tcl,gcl,dcl
iy,iy,ix,ih,ey,y
dcl,f,pcl,kcl,tcl,th
v,v,b,dh,dcl,pcl
ix,ix,ih,dx,ax,ux
tcl,dcl,bcl,tcl,gcl,kcl
t,s,z,t,dcl,tcl
ax,ix,ax,eh,ih,ah
r,r,er,axr,dx,ix
ae,ae,ix,eh,ih,q
k,k,t,d,jh,sh
t,sh,t,f,tcl,ch
n,n,m,ng,gcl,bcl
ih,ey,ih,ix,eh,iy
ng,n,v,m,w,b
r,r,axr,er,dx,ix
f,f,t,sh,th,tcl
r,r,dx,axr,er,v
ow,ao,l,aa,ow,el
ax,b,dh,ix,eh,ax
sh,s,z,sh,ch,jh
m,n,m,bcl,ng,dcl
ix,ix,n,ih,m,dx
q,ix,ax,b,ah,q
m,n,m,ix,ax,uw
ih,iy,ix,ey,ih,ae
l,l,ao,el,ax,w
m,m,r,dx,b,n
pcl,tcl,kcl,pcl,dcl,bcl
n,v,ax,ix,dh,w
sh,s,z,sh,ch,jh
s,s,z,tcl,None,None
z,s,z,t,tcl,ch
q,ae,ix,eh,ah,ax
ow,aa,ax,ow,ah,aw
t,t,f,d,k,sh
s,s,z,tcl,ch,t
q,ae,eh,ih,ix,ey
aa,r,axr,er,aa,ay
kcl,pcl,kcl,tcl,dcl,None
ax,ix,ax,eh,ih,l
iy,iy,ix,ux,ih,y
w,w,l,b,aa,ax
r,r,axr,er,aa,ay
tcl,pcl,tcl,kcl,v,dcl
z,s,z,t,d,p
n,dcl,gcl,n,tcl,bcl
n,dcl,n,dx,tcl,v
l,r,ix,ax,ih,l
m,n,m,ax,dh,v
f,tcl,f,pcl,kcl,v
iy,iy,ey,ih,ix,y
eh,r,axr,er,eh,ih
ey,ey,ix,iy,ih,eh
kcl,kcl,f,tcl,pcl,v
eh,ae,eh,q,aa,ah
gcl,dcl,gcl,bcl,tcl,v
b,k,f,p,t,dh
iy,dh,p,iy,v,n
sh,s,sh,z,ch,t
r,r,v,axr,b,ax
el,w,l,el,ax,ow
m,n,m,dx,nx,dcl
th,s,f,z,t,th
kcl,pcl,tcl,kcl,dcl,bcl
tcl,s,z,tcl,t,th
s,f,s,tcl,th,z
ix,ix,eh,ih,ae,ax
r,r,er,axr,dx,eh
r,r,axr,ix,dx,ih
eh,d,ae,eh,ih,ix
ix,r,ae,eh,aa,axr
iy,iy,ix,ux,ih,ey
ix,ax,ix,l,ih,ow
ix,iy,ih,ix,ey,l
s,s,z,tcl,t,None
y,iy,y,ux,ix,ih
aa,aa,ah,ay,ao,aw
eh,eh,ih,ae,ey,ix
kcl,kcl,tcl,f,v,z
tcl,pcl,tcl,kcl,dcl,gcl
dh,s,z,tcl,f,dh
t,f,t,sh,d,p
g,k,g,p,dx,kcl
dx,dx,n,ix,nx,d
dcl,dcl,dx,kcl,b,tcl
axr,ix,eh,ih,ae,axr
f,f,t,dh,v,p
ux,iy,ix,ey,ih,ux
n,n,w,m,v,r
l,l,w,ax,b,el
hh,k,hv,hh,p,sh
dx,dx,v,gcl,ix,n
m,m,n,ng,bcl,gcl
dcl,bcl,n,m,dcl,v
dcl,tcl,sh,z,s,dcl
eh,r,er,eh,axr,ih
w,l,w,ax,ow,el
pcl,bcl,dcl,tcl,pcl,gcl
ao,ao,aa,l,oy,ah
axr,iy,ih,ix,ux,y
ay,ay,ae,aa,ah,eh
ix,r,ix,axr,ih,er
s,s,z,sh,f,tcl
er,ey,eh,r,ih,iy
dcl,dcl,tcl,bcl,v,kcl
ae,ae,eh,ay,ix,aa
hv,hh,k,d,p,tcl
ix,ng,iy,ix,hv,n
oy,ah,aa,ao,ax,ay
ix,ix,ih,eh,ay,ey
r,r,axr,er,eh,aa
t,t,d,k,f,p
ae,eh,ae,ix,ah,ax
iy,ix,iy,ih,ey,ux
s,s,z,None,None,None
n,n,dcl,b,dh,dx
ih,ix,dx,v,ax,ih
r,r,v,m,l,b
d,d,t,b,f,dh
r,r,ix,iy,axr,ih
er,r,er,axr,ih,ax
ix,ux,ix,dx,ih,iy
aa,aa,ao,l,ah,ax
hv,p,b,k,t,hv
n,n,w,ae,eh,ih
ih,ih,ey,ix,iy,ux
s,s,z,t,d,None
dx,dcl,bcl,tcl,gcl,dh
t,f,t,dh,p,d
y,iy,y,ix,ux,ih
l,l,w,el,ow,ao
ix,ix,eh,ax,ae,ah
r,v,ax,r,l,b
ux,ux,ix,iy,ih,uw
dh,dh,t,d,f,k
n,n,iy,m,dcl,ux
m,r,ix,axr,ih,iy
bcl,dcl,bcl,n,tcl,gcl
nx,n,m,ng,nx,dx
kcl,kcl,f,t,sh,tcl
ax,l,ax,w,ah,el
t,sh,t,ch,jh,d
kcl,kcl,k,s,t,f
el,l,ax,el,ow,uh
ah,ix,ih,eh,dx,d
iy,ey,iy,eh,ix,ih
uw,ix,ih,m,r,ax
ix,iy,ih,ix,ux,y
sh,s,z,sh,ch,tcl
d,f,dh,t,d,p
n,ix,n,iy,ih,m
n,ix,ax,ih,eh,ah
tcl,tcl,s,f,pcl,th
dcl,dcl,z,d,tcl,gcl
tcl,tcl,pcl,kcl,f,v
iy,ix,ih,iy,ux,ey
ao,aa,ay,ao,l,oy
w,ao,w,l,r,aa
l,l,ah,ax,b,ao
iy,ix,iy,ih,ux,dx
axr,r,er,axr,dx,eh
b,b,v,w,dh,p
l,ao,ah,l,aa,ax
n,n,m,ng,en,dcl
ae,ae,eh,r,ix,er
b,b,p,v,dh,f
t,d,t,k,p,dh
l,l,ao,w,ax,aa
hv,k,kcl,tcl,p,n
n,n,m,ng,gcl,en
aa,aa,ao,ay,ah,l
r,r,axr,dx,er,v
ae,ae,eh,ay,ix,r
r,r,axr,er,eh,v
ae,ih,ix,eh,hv,ey
iy,iy,ih,y,ix,ey
b,b,v,l,w,ae
dx,ix,ih,iy,ey,hv
ey,ix,ih,ey,iy,eh
iy,ix,iy,ih,ey,ux
jh,dx,d,b,ih,ux
r,r,ae,axr,eh,ay
z,s,z,t,dcl,d
hv,hv,ih,ix,iy,hh
dcl,dcl,dx,tcl,b,n
m,m,n,dh,ix,ax
eh,ae,eh,ix,ih,axr
ng,dx,d,ix,b,ih
hv,dcl,k,d,tcl,hh
gcl,dcl,bcl,tcl,gcl,kcl
pcl,f,pcl,kcl,tcl,p
dcl,dcl,bcl,tcl,gcl,n
tcl,tcl,pcl,kcl,dcl,v
s,s,z,sh,tcl,jh
tcl,tcl,pcl,kcl,dcl,gcl
r,r,axr,er,aa,q
pcl,tcl,pcl,f,kcl,bcl
ch,sh,ch,jh,tcl,t
z,z,s,tcl,dcl,pcl
k,t,d,dh,k,p
r,ae,eh,r,ix,w
hv,hv,dx,v,gcl,ix
n,dh,n,dx,m,nx
dcl,tcl,s,z,f,dcl
eh,ix,ae,eh,ih,dx
kcl,kcl,p,k,g,f
ux,iy,ih,ix,ey,ux
d,kcl,f,tcl,d,v
tcl,dcl,d,dx,v,jh
g,v,b,dh,l,g
pcl,pcl,tcl,kcl,v,dcl
d,ix,d,ih,dx,iy
sh,sh,jh,ch,tcl,s
m,m,n,bcl,en,ng
ix,ix,iy,ey,ih,eh
em,n,m,ng,gcl,iy
aa,ay,ae,ah,aa,aw
w,w,b,v,l,m
iy,ix,iy,ux,n,ih
ao,aa,ao,r,ay,ah
ax,ix,ih,ux,iy,q
pcl,pcl,tcl,kcl,dcl,bcl
ax,l,ax,ah,oy,dh
l,l,ao,ow,ax,ah
ay,ay,aa,ae,r,aw
bcl,bcl,dcl,tcl,gcl,dx
kcl,n,dcl,gcl,m,tcl
v,v,b,dx,kcl,tcl
ix,ae,eh,ix,ih,ah
g,g,k,axr,r,ix
l,l,ao,ax,ow,aa
ay,aa,ah,ay,ao,oy
dcl,dcl,gcl,v,tcl,kcl
ix,ix,dx,ih,d,iy
l,l,ao,el,aa,ax
m,n,m,ix,en,ax
ux,iy,ix,ih,ux,y
eh,r,er,axr,eh,ax
hh,k,d,sh,t,jh
aa,aa,r,ao,ay,ah
hh,k,p,dx,kcl,g
p,p,dh,f,pcl,b
oy,oy,l,dx,ix,r
aa,aa,ax,ao,r,q
dh,t,tcl,dh,f,s
l,ix,ih,eh,q,m
er,r,axr,er,ah,eh
r,r,v,b,axr,ax
ao,l,ao,w,ow,el
kcl,tcl,pcl,kcl,f,dcl
s,s,z,jh,t,None
w,w,v,l,m,r
ih,ix,ih,iy,ey,ux
l,l,n,ax,ao,aa
dx,dx,axr,r,er,nx
s,s,z,sh,tcl,ch
iy,iy,ux,y,ix,ih
ng,n,ng,m,iy,en
ah,ow,ah,aa,ax,r
ih,ix,hv,ih,iy,ey
ae,ix,r,eh,ah,aa
ay,ay,ih,ix,ae,eh
ae,ae,ay,eh,r,aa
q,ix,ih,ax,l,dh
axr,ix,n,r,eh,er
ix,r,er,axr,dx,ih
t,s,t,d,z,p
kcl,kcl,tcl,f,pcl,dcl
ih,eh,ih,ax,ix,ae
d,d,ix,z,t,dcl
dh,ax,ix,l,ih,uh
g,k,t,hh,g,p
d,dx,ih,v,dh,ix
q,eh,ih,ae,ix,q
t,t,f,th,dh,s
w,w,l,ao,ax,el
kcl,s,kcl,z,tcl,pcl
ae,ae,eh,ih,ix,nx
gcl,ix,d,dx,dcl,n
n,dcl,n,m,tcl,gcl
ih,ix,iy,dx,k,n
tcl,f,t,tcl,s,th
k,k,s,p,dh,t
z,sh,jh,ch,tcl,s
ix,iy,y,ix,ux,ih
kcl,s,z,tcl,f,th
d,d,t,sh,jh,p
r,iy,ix,ey,ih,r
tcl,tcl,pcl,kcl,dcl,gcl
g,d,jh,dcl,k,y
q,iy,y,q,ix,k
m,ix,m,n,r,dx
ix,iy,ix,ih,r,ey
n,dcl,n,m,tcl,gcl
ao,ao,aa,l,ow,ax
er,r,axr,er,aa,ix
k,k,kcl,g,f,t
er,axr,r,er,eh,uw
sh,sh,ch,jh,s,t
d,p,dh,d,b,ae
iy,hv,hh,iy,n,ix
ih,ix,dx,ih,r,v
ao,l,ao,aa,w,ax
v,v,b,dh,p,d
m,bcl,tcl,dcl,v,pcl
s,s,z,t,None,None
nx,n,dx,d,dcl,m
ey,ey,ih,ix,eh,iy
bcl,tcl,pcl,kcl,bcl,dcl
f,f,p,t,v,d
ix,ih,ey,ix,eh,iy
z,s,f,z,tcl,th
k,k,g,kcl,p,t
tcl,s,tcl,z,pcl,th
s,s,z,t,sh,jh
kcl,n,dcl,tcl,gcl,v
ae,ae,ix,r,er,eh
iy,n,iy,m,dcl,ix
k,k,t,sh,p,d
f,f,p,b,kcl,pcl
kcl,tcl,pcl,kcl,dcl,f
t,f,t,dh,th,s
aa,r,aa,ah,axr,ax
ux,ix,ih,eh,nx,q
ix,ix,n,dx,d,ih
iy,iy,ix,y,ih,ux
ih,iy,ix,dx,ih,q
k,k,kcl,p,f,dh
aa,ae,ay,aa,ah,eh
gcl,dcl,n,gcl,tcl,bcl
f,pcl,kcl,f,tcl,v
tcl,k,kcl,p,b,f
el,w,l,ow,ax,ao
v,v,b,dx,r,m
d,d,p,dx,ix,t
hh,sh,k,jh,ch,s
q,iy,ix,y,ux,dx
r,r,axr,w,ao,l
r,r,axr,er,aa,ah
y,ix,ih,eh,ey,dx
v,v,r,b,dx,dh
tcl,pcl,tcl,kcl,dcl,bcl
iy,ix,dx,ih,d,n
ao,w,ao,l,ow,r
z,s,z,sh,jh,ch
k,k,g,kcl,d,p
pcl,tcl,bcl,dcl,v,pcl
ux,iy,y,dx,ih,ux
k,k,t,d,g,sh
s,s,z,sh,t,tcl
r,ae,eh,ix,ay,ah
ix,ix,n,ae,ih,eh
n,n,dcl,m,tcl,gcl
dcl,dcl,n,v,gcl,dh
l,l,w,ax,ao,b
kcl,dcl,kcl,tcl,dx,v
dh,dh,v,b,dcl,pcl
t,k,t,sh,ch,p
t,sh,s,jh,tcl,d
ix,l,n,w,el,m
q,ey,ix,ih,eh,iy
b,v,b,r,l,dx
w,ax,ix,l,w,dh
b,v,b,dh,tcl,dcl
sh,sh,jh,s,tcl,ch
ix,eh,ae,ay,ah,oy
tcl,s,z,tcl,None,None
th,s,z,th,t,tcl
n,n,m,ng,nx,en
ix,iy,ux,ix,y,ih
ow,l,ow,ao,el,w
k,k,p,g,b,kcl
eh,ix,eh,ae,ih,dx
zh,sh,ch,jh,zh,z
dcl,dcl,v,gcl,dh,kcl
uh,ix,ih,ax,dx,n
b,f,b,d,dh,t
m,bcl,m,n,dcl,v
t,p,d,b,t,f
ix,ix,iy,ih,dx,y
bcl,tcl,kcl,f,pcl,dcl
er,axr,r,er,ix,ih
p,p,t,k,b,pcl
tcl,dcl,tcl,gcl,bcl,kcl
ax,ax,ow,ah,eh,ix
m,n,m,ng,ix,nx
ae,ae,ix,eh,r,ax
ah,ax,aa,ow,ah,b
ay,ay,aa,ao,ah,l
w,l,w,r,ax,b
r,aa,ah,ax,ow,ao
s,s,t,z,d,th
w,w,l,b,ow,ao
q,w,l,el,ao,ow
b,b,v,dh,p,tcl
d,d,z,t,s,jh
q,ae,ao,aa,w,q
axr,r,ix,axr,iy,ih
s,s,z,t,d,None
r,r,v,axr,b,dx
dh,f,dh,t,b,d
s,s,z,tcl,sh,ch
ah,ah,aa,ax,ay,ow
n,n,dcl,gcl,tcl,dh
ao,l,ao,w,el,ow
ae,r,eh,aa,ae,ix
ih,ih,iy,ix,ux,eh
m,r,ix,dx,dh,ih
ix,iy,ix,ih,ey,y
m,ix,r,ux,ih,dx
m,n,dcl,m,dx,nx
ah,ah,eh,ay,ae,ow
tcl,n,gcl,m,tcl,dcl
ah,ay,eh,ah,ae,ax
tcl,pcl,kcl,tcl,f,th
d,k,d,t,p,dx
ao,ao,l,aa,w,ow
dcl,v,l,w,bcl,b
r,r,axr,er,ae,ay
p,p,f,t,dh,b
r,aa,ao,r,ah,ow
uh,dx,ih,iy,ix,ux
aa,aa,ao,ow,ah,ay
f,f,tcl,pcl,v,bcl
k,k,t,d,p,g
d,b,v,dh,p,d
ih,eh,ih,ey,r,ix
n,n,m,en,dcl,bcl
ay,ae,b,p,eh,dh
iy,iy,ih,ix,ey,w
aa,r,er,axr,aa,ae
y,iy,y,ix,q,d
s,s,z,tcl,t,None
kcl,f,tcl,kcl,pcl,sh
ao,r,ao,l,aa,b
iy,iy,ix,ey,y,ux
s,s,z,t,d,sh
s,s,z,tcl,t,dcl
y,iy,ix,y,ih,ey
t,t,p,k,kcl,sh
b,p,b,v,k,pcl
el,l,el,ow,ax,w
axr,axr,r,er,ix,eh
bcl,w,v,n,bcl,dcl
tcl,sh,jh,s,ch,tcl
s,s,z,sh,tcl,d
eh,aa,ao,l,ax,ah
iy,iy,ih,ey,ix,y
gcl,dcl,gcl,v,tcl,b
p,dh,b,bcl,p,t
t,t,f,d,s,p
ay,ay,aa,ae,ah,aw
ix,iy,ix,y,ih,ey
t,t,f,tcl,th,s
n,n,m,ng,en,ix
jh,axr,r,er,ih,ix
b,d,b,dx,dcl,p
dx,ix,ux,dx,ih,r
gcl,dcl,gcl,tcl,kcl,bcl
tcl,f,tcl,pcl,kcl,dh
aa,aa,ah,ay,eh,aw
n,n,m,nx,dx,dcl
ae,r,ae,er,axr,eh
tcl,pcl,kcl,tcl,v,f
dx,r,dx,axr,er,n
s,s,z,tcl,t,None
dx,ix,ih,eh,ae,n
ae,ae,r,eh,q,aa
ao,ao,l,w,aa,ow
y,ih,ix,iy,ey,ux
ow,l,ao,ow,w,aa
ih,iy,y,ix,ih,d
ix,ih,iy,ey,ix,q
ae,ae,eh,q,ix,ay
q,ay,ae,aa,ah,ax
b,v,b,dh,ix,n
r,r,axr,er,dx,eh
ng,n,ng,m,ix,gcl
ix,ix,ih,ax,ux,dx
oy,oy,l,ow,ao,aa
axr,r,axr,aa,ao,v
r,ax,ah,l,aa,r
g,k,d,hv,dx,g
y,iy,y,ix,ih,dx
g,b,k,g,dx,l
s,sh,s,jh,ch,tcl
dcl,dcl,gcl,tcl,n,v
nx,n,m,ng,nx,en
axr,r,axr,er,eh,aa
tcl,tcl,d,t,dh,n
ix,ix,ux,ih,dx,uw
ae,ae,d,k,ix,ah
f,f,th,p,kcl,v
ch,sh,ch,jh,s,z
l,r,l,v,w,ax
dh,dh,f,t,d,b
w,w,n,l,ix,ih
gcl,dcl,bcl,tcl,gcl,pcl
ao,r,axr,dx,er,v
s,s,z,sh,tcl,ch
r,r,axr,dx,er,aa
ix,l,ow,ax,el,ah
axr,axr,r,er,aa,ao
